day,totalCount,chinkCount,buglandCount,chankaroCount,chinaziCount,gookCount,insectoidCount,bugmenCount,chingchongCount,chinkFreq,buglandFreq,chankaroFreq,chinaziFreq,gookFreq,insectoidFreq,bugmenFreq,chingchongFreq
2019-12-25,393493,16.0,0.0,0.0,8.0,13.0,0.0,0.0,5.0,4.066146030552005e-05,0.0,0.0,2.0330730152760024e-05,3.303743649823504e-05,0.0,0.0,1.2706706345475015e-05
2019-12-26,392319,18.0,0.0,0.0,10.0,8.0,1.0,1.0,2.0,4.588103048794476e-05,0.0,0.0,2.5489461382191532e-05,2.0391569105753227e-05,2.5489461382191534e-06,2.5489461382191534e-06,5.097892276438307e-06
2019-12-27,431667,33.0,0.0,0.0,29.0,4.0,0.0,0.0,2.0,7.644781741481281e-05,0.0,0.0,6.71814153039264e-05,9.266402110886402e-06,0.0,0.0,4.633201055443201e-06
2019-12-28,423758,26.0,0.0,0.0,10.0,7.0,0.0,0.0,2.0,6.135577381429968e-05,0.0,0.0,2.359837454396141e-05,1.6518862180772987e-05,0.0,0.0,4.719674908792282e-06
2019-12-29,452661,24.0,0.0,0.0,16.0,6.0,0.0,1.0,0.0,5.3019809526334274e-05,0.0,0.0,3.534653968422285e-05,1.3254952381583569e-05,0.0,2.2091587302639282e-06,0.0
2019-12-30,458604,14.0,0.0,0.0,11.0,5.0,0.0,0.0,4.0,3.0527426712370585e-05,0.0,0.0,2.398583527400546e-05,1.0902652397275208e-05,0.0,0.0,8.722121917820168e-06
2019-12-31,490695,25.0,0.0,0.0,9.0,8.0,1.0,0.0,4.0,5.094814497804135e-05,0.0,0.0,1.8341332192094886e-05,1.630340639297323e-05,2.037925799121654e-06,0.0,8.151703196486616e-06
2020-01-01,463269,23.0,0.0,0.0,12.0,5.0,2.0,0.0,1.0,4.9647181227321494e-05,0.0,0.0,2.5902877162080777e-05,1.0792865484200323e-05,4.31714619368013e-06,0.0,2.158573096840065e-06
2020-01-02,435656,18.0,0.0,0.0,9.0,9.0,0.0,1.0,3.0,4.131700240556769e-05,0.0,0.0,2.0658501202783846e-05,2.0658501202783846e-05,0.0,2.2953890225315384e-06,6.886167067594616e-06
2020-01-03,495909,23.0,0.0,0.0,7.0,3.0,0.0,1.0,1.0,4.6379476879830774e-05,0.0,0.0,1.4115492963426757e-05,6.049496984325753e-06,0.0,2.016498994775251e-06,2.016498994775251e-06
2020-01-04,458563,23.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,5.015668512287298e-05,0.0,0.0,1.3084352640749472e-05,1.5265078080874384e-05,0.0,0.0,0.0
